"id","correct_name"
"2012/05/B/ST3/03290","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/B/ST4/02951","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/N/ST2/05004","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/01/N/ST3/02250","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/02/A/ST3/00124","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/02/A/ST3/00150","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/11/B/ST3/03837","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/N/ST3/02644","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2011/03/N/ST3/02963","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/N/ST10/03710","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/06/M/ST2/00428","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/17/B/ST3/01204","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/B/ST7/01456","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/N/ST3/03161","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/07/N/ST6/02192","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/09/N/ST8/00292","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/N/ST3/03776","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/10/M/NZ4/00268","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/10/M/ST7/00568","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2013/11/B/ST3/03787","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/B/ST3/04526","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/13/N/ST8/00081","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/18/M/ST2/00162","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/B/ST2/00989","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/B/ST3/00543","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/D/NZ9/00060","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2015/19/D/ST8/00818","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/B/ST2/01083","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/N/ST3/00287","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/B/ST10/00909","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/B/ST2/01409","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/B/ST3/00821","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/N/ST1/01355","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/D/ST8/00669","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/24/T/ST3/00009","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
